n, time (s)
50000, 0.00
100000, 0.02
150000, 0.02
200000, 0.04
250000, 0.04
300000, 0.06
350000, 0.05
400000, 0.08
450000, 0.09
500000, 0.10
550000, 0.11
600000, 0.14
650000, 0.15
700000, 0.17
750000, 0.18
800000, 0.18
850000, 0.22
900000, 0.22
950000, 0.23
1000000, 0.24
1050000, 0.29
1100000, 0.29
1150000, 0.30
1200000, 0.33
1250000, 0.34
1300000, 0.35
1350000, 0.37
1400000, 0.39
1450000, 0.39
1500000, 0.40
1550000, 0.43
1600000, 0.44
1650000, 0.47
1700000, 0.48
1750000, 0.49
1800000, 0.51
1850000, 0.56
1900000, 0.55
1950000, 0.59
2000000, 0.59
2050000, 0.58
2100000, 0.60
2150000, 0.59
2200000, 0.66
2250000, 0.63
2300000, 0.69
2350000, 0.71
2400000, 0.69
2450000, 0.70
2500000, 0.76
2550000, 0.77
2600000, 0.77
2650000, 0.80
2700000, 0.81
2750000, 0.81
2800000, 0.83
2850000, 0.88
2900000, 0.86
2950000, 0.90
3000000, 0.91
3050000, 0.91
3100000, 0.94
3150000, 0.98
3200000, 0.96
3250000, 0.98
3300000, 0.99
3350000, 1.04
3400000, 1.05
3450000, 1.04
3500000, 1.07
3550000, 1.10
3600000, 1.15
3650000, 1.14
3700000, 1.19
3750000, 1.16
3800000, 1.18
3850000, 1.17
3900000, 1.22
3950000, 1.26
4000000, 1.24
4050000, 1.27
4100000, 1.26
4150000, 1.30
4200000, 1.27
4250000, 1.30
4300000, 1.34
4350000, 1.37
4400000, 1.39
4450000, 1.39
4500000, 1.42
4550000, 1.41
4600000, 1.46
4650000, 1.46
4700000, 1.41
4750000, 1.52
4800000, 1.51
4850000, 1.54
4900000, 1.54
4950000, 1.55
5000000, 1.59
