n, time (s)
500, 0.00
1000, 0.00
1500, 0.00
2000, 0.00
2500, 0.00
3000, 0.00
3500, 0.00
4000, 0.00
4500, 0.00
5000, 0.01
5500, 0.01
6000, 0.02
6500, 0.02
7000, 0.02
7500, 0.02
8000, 0.03
8500, 0.03
9000, 0.04
9500, 0.04
10000, 0.04
10500, 0.05
11000, 0.06
11500, 0.06
12000, 0.07
12500, 0.08
13000, 0.08
13500, 0.09
14000, 0.10
14500, 0.11
15000, 0.11
15500, 0.12
16000, 0.13
16500, 0.14
17000, 0.14
17500, 0.17
18000, 0.17
18500, 0.18
19000, 0.19
19500, 0.20
20000, 0.21
20500, 0.21
21000, 0.23
21500, 0.23
22000, 0.25
22500, 0.26
23000, 0.28
23500, 0.28
24000, 0.30
24500, 0.31
25000, 0.31
25500, 0.33
26000, 0.35
26500, 0.36
27000, 0.38
27500, 0.39
28000, 0.41
28500, 0.41
29000, 0.43
29500, 0.45
30000, 0.46
30500, 0.49
31000, 0.49
31500, 0.51
32000, 0.53
32500, 0.55
33000, 0.56
33500, 0.59
34000, 0.61
34500, 0.61
35000, 0.63
35500, 0.65
36000, 0.68
36500, 0.69
37000, 0.71
37500, 0.74
38000, 0.75
38500, 0.77
39000, 0.79
39500, 0.82
40000, 0.83
40500, 0.85
41000, 0.87
41500, 0.89
42000, 0.91
42500, 0.94
43000, 0.96
43500, 0.99
44000, 1.00
44500, 1.03
45000, 1.05
45500, 1.08
46000, 1.09
46500, 1.13
47000, 1.17
47500, 1.18
48000, 1.18
48500, 1.22
49000, 1.27
49500, 1.30
50000, 1.30
